,type,price,index,position,capital
0,BUY,590.8200073242188,2026-03-19 14:06:00+00:00,169.2562857728749,
1,SELL,590.989990234375,2026-03-19 14:08:00+00:00,,100028.77067601791
2,BUY,590.8660278320312,2026-03-19 14:09:00+00:00,169.29179537201898,
3,SELL,591.1812133789062,2026-03-19 14:14:00+00:00,,100082.12900312369
4,BUY,589.6199951171875,2026-03-19 14:30:00+00:00,169.74005263039336,
5,SELL,591.1099853515625,2026-03-19 14:37:00+00:00,,100335.04002392526
6,BUY,590.4600219726562,2026-03-19 14:39:00+00:00,169.92689816444795,
7,SELL,590.9000244140625,2026-03-19 14:41:00+00:00,,100409.80827397821
8,BUY,590.580078125,2026-03-19 14:48:00+00:00,170.01895592679617,
9,SELL,591.2000122070312,2026-03-19 14:54:00+00:00,,100515.2088193486
10,BUY,590.6599731445312,2026-03-19 14:55:00+00:00,170.17440386933598,
11,SELL,592.760009765625,2026-03-19 15:16:00+00:00,,100872.581299447
12,BUY,589.5081787109375,2026-03-19 15:51:00+00:00,171.11311588589408,
13,SELL,589.6199951171875,2026-03-19 15:52:00+00:00,,100891.7145531276
14,BUY,589.3400268554688,2026-03-19 15:54:00+00:00,171.19440383415625,
15,SELL,591.22998046875,2026-03-19 16:09:00+00:00,,101215.2640352275
16,BUY,590.6300048828125,2026-03-19 16:11:00+00:00,171.36830705935728,
17,SELL,591.0700073242188,2026-03-19 16:12:00+00:00,,101290.66650871327
18,BUY,590.2100219726562,2026-03-19 16:26:00+00:00,171.61800501145328,
19,SELL,590.7449951171875,2026-03-19 16:30:00+00:00,,101382.47753251242
20,BUY,589.8800048828125,2026-03-19 16:37:00+00:00,171.86966280142585,
21,SELL,590.6400146484375,2026-03-19 16:48:00+00:00,,101513.10015465617
22,BUY,589.10498046875,2026-03-19 17:17:00+00:00,172.3175045539122,
23,SELL,589.9000244140625,2026-03-19 17:32:00+00:00,,101650.10014332313
24,BUY,589.6699829101562,2026-03-19 17:35:00+00:00,172.38472889811456,
25,SELL,589.9199829101562,2026-03-19 17:36:00+00:00,,101693.19632554766
26,BUY,589.580078125,2026-03-19 17:44:00+00:00,172.48411216497573,
27,SELL,589.6799926757812,2026-03-19 17:46:00+00:00,,101710.42999813151
28,BUY,589.6300048828125,2026-03-19 17:49:00+00:00,172.49873506411228,
29,SELL,590.1300048828125,2026-03-19 17:59:00+00:00,,101796.67936566356
30,BUY,589.8800048828125,2026-03-19 18:06:00+00:00,172.57184261718928,
31,SELL,591.0700073242188,2026-03-19 18:27:00+00:00,,102002.040279696
32,BUY,589.8250122070312,2026-03-19 18:53:00+00:00,172.93610506278907,
33,SELL,594.530029296875,2026-03-19 19:22:00+00:00,,102815.70760946744
34,BUY,593.0399780273438,2026-03-19 19:38:00+00:00,173.37061820261778,
35,SELL,593.510009765625,2026-03-19 19:40:00+00:00,,102897.19730250812
36,BUY,593.3200073242188,2026-03-19 19:41:00+00:00,173.4261377204496,
37,SELL,593.5850219726562,2026-03-19 19:43:00+00:00,,102943.15776942598
38,BUY,593.260009765625,2026-03-19 19:46:00+00:00,173.52114768378706,
39,SELL,593.489990234375,2026-03-19 19:47:00+00:00,,102983.06424430832
40,BUY,592.8699951171875,2026-03-19 19:54:00+00:00,173.7026078102545,
41,SELL,593.4299926757812,2026-03-19 19:55:00+00:00,,103080.33728060343
42,BUY,593.1900024414062,2026-03-19 19:56:00+00:00,173.7728836567596,
43,SELL,593.2999877929688,2026-03-19 19:58:00+00:00,,103099.44975230446
44,BUY,590.27001953125,2026-03-20 13:43:00+00:00,174.66489291490464,
45,SELL,590.4600219726562,2026-03-20 13:45:00+00:00,,103132.63650838625
46,BUY,585.9450073242188,2026-03-20 14:29:00+00:00,176.0107778362215,
47,SELL,586.75,2026-03-20 14:36:00+00:00,,103274.32389540297
48,BUY,586.3599853515625,2026-03-20 14:39:00+00:00,176.127850595881,
